### DIFF = 0.01
### R = 0.6
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
2.75, 1.0, -0.04127058895124313
2.75, 1.25, -0.06288021557409487
2.75, 1.5, -0.12018078197655474
2.75, 1.75, -0.12240574044278217
2.75, 2.0, -0.1506755014054102
2.75, 2.25, -0.1810045943458724
2.75, 2.5, -0.2110339135496839
2.75, 2.75, -0.24048667067242774
DOMINANT MODE AT (ky,kz) = (1.5, 0.5)
DOMINANT GROWTH RATE = 0.006242785119556739

### DIFF = 0.001
### R = 0.4
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, -0.013507576031610832
0.0, 0.5, -0.02625702107757542
0.0, 0.75, -0.0473841057221523
0.0, 1.0, -0.07437612770981429
0.25, 0.0, -0.10227246018333065
0.25, 0.25, -0.03851326205894214
0.25, 0.5, -0.030109062672976715
0.25, 0.75, -0.04662713622121236
0.25, 1.0, -0.07373351190633588
0.5, 0.0, -0.2288242631311646
0.5, 0.25, -0.03411878517742074
0.5, 0.5, -0.03824479531848225
0.5, 0.75, -0.055116015689551746
0.5, 1.0, -0.07732435732505102
0.75, 0.0, -0.35136863582279654
0.75, 0.25, -0.022454757820900152
0.75, 0.5, -0.03959653055060515
0.75, 0.75, -0.05521009996260049
0.75, 1.0, -0.08221129603004329
1.0, 0.0, -0.4839300263168644
1.0, 0.25, 0.00022266543053003278
1.0, 0.5, -0.066301732706421
1.0, 0.75, -0.052939526406222834
1.0, 1.0, -0.08274416409633614
DOMINANT MODE AT (ky,kz) = (1.0, 0.25)
DOMINANT GROWTH RATE = 0.00022266543053003278
